iDQ 1.0,dCAQE 4.0.1,iProver v3.1 (CASC-27),HQS 2,DQBDD 1.1
224.8284348,0.094496472,14.77215689,0.081606925,0.069807248
224.8590725,0.095221601,14.77606389,0.085340014,0.069913751
224.8965718,0.096165179,16.17641757,0.085737343,0.069979909
225.5743582,0.101172125,16.18973421,0.086078583,0.069983975
225.7247499,0.101535182,16.38800679,0.087023363,0.070266932
225.8579428,0.101885764,16.41718437,0.08960294,0.07028094
225.9488303,0.105878693,16.42011175,0.093654198,0.070494755
226.5485702,0.10619268,16.48979837,0.093683149,0.070885343
227.0033951,0.106735432,17.99483227,0.093709981,0.071010392
227.1398506,0.110403,18.05444667,0.093724063,0.07123965
348.4848139,0.111212675,18.05951188,0.093769898,0.071507457
406.6737991,0.111936039,18.11796447,0.093884598,0.07200076
410.284797,0.113332858,23.42081379,0.094150917,0.072784571
412.5997148,0.113703503,23.57185585,0.094464057,0.073166756
,0.114506543,23.58869651,0.101618535,0.073723264
,0.115533436,23.6000699,0.105664275,0.073776968
,0.116182671,32.67967466,0.1062654,0.074163666
,0.116473292,35.11284888,0.109171902,0.074272047
,0.116647017,35.31457284,0.109696874,0.074756035
,0.118962844,35.66514218,0.10981706,0.076255314
,0.12020418,35.67645514,0.109897362,0.078673914
,0.121046664,39.11703959,0.109937509,0.078691037
,0.122116203,39.16087604,0.117420927,0.078755957
,0.122783289,39.16190182,0.121899114,0.079191493
,0.123484294,39.22538464,0.125577831,0.082361213
,0.124517858,44.14389629,0.125605005,0.082462594
,0.125340404,44.28490127,0.125828144,0.083077208
,0.127484338,44.32569062,0.125832091,0.08315003
,0.128018713,44.33327321,0.12598918,0.084802366
,0.128075366,44.40919618,0.129399598,0.096998479
,0.128921344,54.05454393,0.129637764,0.098423839
,0.129221956,61.31884238,0.129810688,0.099802584
,0.129816653,61.50228385,0.129927376,0.103028423
,0.131617693,61.8273456,0.129982207,0.106008195
,0.132114153,70.69092348,0.133741673,0.10603219
,0.132511879,71.67706772,0.137597383,0.106062331
,0.132848756,72.78277395,0.141441275,0.106415298
,0.133566479,75.45048166,0.141677358,0.106441941
,0.134281994,75.94672793,0.141709121,0.107050836
,0.134379966,77.90847083,0.153849573,0.108238837
,0.134723537,79.62313491,0.153988991,0.109156748
,0.135723175,79.75006985,0.15422818,0.109204241
,0.13640227,79.75071939,0.155069863,0.109310314
,0.136567779,80.61777761,0.157812152,0.124349997
,0.136631029,80.79199066,0.157832746,0.134538689
,0.140919692,80.832633,0.157978122,0.13471207
,0.142859562,81.57759129,0.158015179,0.134947876
,0.14691841,82.22947656,0.158117587,0.134977493
,0.156567503,82.44221262,0.160052106,0.13818943
,0.156954659,82.46320259,0.161674565,0.138544982
,0.158129529,84.0734909,0.161769425,0.138581767
,0.158585866,84.08426333,0.161832203,0.138811746
,0.159565471,87.21097692,0.162243879,0.142371371
,0.15986296,87.29141123,0.165376557,0.154504902
,0.160128298,89.29901806,0.169446206,0.154751845
,0.162937274,89.48681145,0.171070469,0.158929341
,0.164297422,89.52661158,0.18180196,0.162638054
