dCAQE 4.0.1,DQBDD 1.1
0.034381649,0.030410359
0.019342936,0.026311241
0.01832731,0.027183536
0.037363342,0.030347465
42.80056862,0.036946066
0.077549094,0.033534233
0.021673965,0.0262
0.270630368,0.03850974
0.031332873,0.031247614
0.029785651,0.026390436
0.374846061,0.034558423
0.037109024,0.034024402
0.031642334,0.033261648
1.653534932,0.034845025
0.087258044,0.026392812
0.196460738,0.026379762
0.178426616,0.027378841
0.980550443,0.034110765
0.04017485,0.034550192
0.320023051,0.030727516
0.464043998,0.04243656
0.329269589,0.030290476
0.028448688,0.026746826
0.753527129,0.038284781
0.105859989,0.042977571
2.020109341,0.038676065
10.99209167,0.06264997
0.077081923,0.030216133
0.133319783,0.031259356
0.019148673,0.030291945
0.073943076,0.030521876
0.015569373,0.022709798
0.282188881,0.038649087
0.427298828,0.034263617
0.144961496,0.033161695
0.027418167,0.026768022
0.025196662,0.026265976
0.087686108,0.043836285
0.049822507,0.029599854
1.331779191,0.034247478
0.117744631,0.05298201
0.020527977,0.028100238
0.050028024,0.034790522
0.206287182,0.038856442
0.326032082,100
1.819153786,0.042780571
0.319668136,0.034113309
0.317570639,0.030271029
0.065353398,0.030207112
0.855943325,0.038001906
1.001816948,0.034328336
0.095653668,0.030099462
0.036133584,100
0.021087284,0.027441778
0.044280501,0.034165181
1.861907006,0.050754002
0.0358677,0.026790721
0.04636842,0.026934678
0.219074892,0.027001505
0.05454273,0.038753767
0.040928309,0.031282478
0.270089315,0.026842517
0.929265171,0.034792002
0.023458065,0.027095157
0.085461389,0.026787236
0.447858024,0.031094904
0.043888357,0.023132639
1.761400261,100
0.110321356,0.030578136
0.095880026,0.026611933
0.034256392,0.026570404
0.419944569,0.042672059
0.332253011,0.030821075
0.07387799,0.02662293
1.293618514,0.026952408
0.149172034,0.03467555
0.027839692,0.026798795
0.032783712,0.026671688
0.548061599,0.030926366
0.39199456,0.026944293
0.02776788,0.026699769
0.024695912,0.026924855
20.06070917,0.046989872
0.027793442,0.026661879
0.871984101,0.038965707
0.061661259,0.034956911
0.162439003,0.034802453
0.103468585,0.034632736
0.508748516,0.030634546
1.728961652,0.034524988
0.110836344,0.042842817
0.707595769,0.030858187
0.3481844,0.030857539
0.607325045,0.046583245
0.662411852,0.038602183
3.066431003,0.034915558
0.037465842,0.0265781
0.03441958,0.026610665
0.814613072,0.030725325
0.041280936,0.030681784
0.025381588,0.030918628
2.200763885,0.030735431
1.368908567,0.034592714
0.047093908,0.043263916
0.03271787,0.045980984
0.026171522,0.030200617
0.026966894,0.045880771
0.021213191,0.038623558
0.021838133,0.045040095
0.04050123,0.053871505
0.032891074,0.041057583
0.026965322,0.038769787
0.042862287,0.059385433
0.027185762,0.042970389
0.058014564,0.045851092
0.02456318,0.03387353
0.036393241,0.038474997
0.03439279,0.045827615
0.033499558,0.04961794
0.026618813,0.033551122
0.022706181,0.033474615
0.026027858,0.053046253
0.021380669,0.041283723
0.023957042,0.037950736
0.040412427,0.049722765
0.020988412,0.041808465
0.021341127,0.037951775
0.034354931,0.047397396
0.044649221,0.033901975
0.030331961,0.041864417
0.024101804,0.052467616
0.032268701,0.049916747
0.025231895,0.046838419
0.016779844,0.029270325
0.028890845,0.045984367
0.022409975,0.045786065
0.029778042,0.045676764
0.036561141,0.054261398
0.051487347,0.057006852
0.028479069,0.045643168
0.042954659,0.046619181
0.434341702,0.046327911
0.02994425,0.048478728
0.040491674,0.054988313
