simple-atbeginning.dqbf19,simple-continuous.dqbf19,simple-varsinconjuncts.dqbf19,tree-simpleelimination-atbeginning.dqbf19,tree-simpleelimination-continuous.dqbf19,tree-simpleelimination-varsinconjuncts.dqbf19,tree-fullelimination-atbeginning.dqbf19,tree-fullelimination-continuous.dqbf19,tree-fullelimination-varsinconjuncts.dqbf19
0.124435762,0.133910438,0.139710161,0.161194391,0.2058242,0.200673896,0.228379086,0.223395386,0.199961362
0.126567163,0.135426237,0.147753807,0.189242708,0.215493324,0.203394897,0.243847789,0.245044879,0.200000912
0.13294328,0.137601278,0.158313456,0.193232409,0.225197688,0.215343283,0.25137678,0.251067651,0.243269071
0.134597302,0.150077747,0.160227421,0.20976487,0.241289988,0.222577082,0.268441411,0.264663554,0.251222642
0.149141603,0.153966105,0.161299052,0.225191638,0.245272446,0.244874011,0.268666898,0.268606768,0.258343141
0.150795523,0.161324519,0.173886333,0.245298502,0.284959014,0.252846788,0.324703522,0.326825476,0.325603152
0.16249047,0.161758411,0.189332136,0.248989398,0.284995102,0.260929343,0.339801567,0.336860904,0.336340318
0.166114785,0.165924928,0.201395522,0.32130288,0.319371282,0.324581743,0.340500173,0.339761833,0.349420131
0.166564708,0.170849878,0.202405227,0.337012468,0.331049524,0.340859235,0.347219716,0.345731292,0.351515919
0.174351836,0.177603092,0.202534077,0.337027624,0.333530686,0.346490909,0.367168618,0.356868842,0.382533245
0.178129735,0.189901965,0.219388878,0.345230338,0.339477722,0.352913569,0.448994688,0.448960287,0.471227221
0.191008736,0.197591027,0.224029007,0.361345086,0.356599824,0.384920882,0.473418155,0.47254825,0.514919105
0.19378682,0.199193717,0.225232829,0.417513682,0.432709561,0.442408313,0.504676131,0.496665409,0.564471986
0.194151676,0.201568675,0.237489949,0.453397894,0.442611059,0.472906384,0.516267285,0.504616006,0.564710325
0.19807721,0.202641504,0.245450599,0.473489539,0.465634739,0.509100812,0.516895115,0.588676945,0.629013007
0.203048987,0.206601597,0.248128117,0.501545308,0.501672713,0.556930204,0.593309777,0.600872842,0.631157914
0.218675208,0.220315435,0.257429911,0.513192561,0.509352098,0.565086945,0.609037654,0.612831532,0.635039335
0.22440397,0.225241964,0.271864354,0.513431359,0.588809801,0.632893454,0.6648563,0.660616292,0.720719401
0.230208035,0.233510246,0.272073956,0.560112294,0.594273004,0.636392237,0.692393954,0.676560764,0.724619532
0.248309488,0.245754806,0.281442445,0.613508939,0.661513372,0.713344718,0.693110279,0.688672392,0.72749762
0.250169529,0.254198965,0.289733057,0.669688543,0.678776502,0.717292478,0.696745077,0.70883268,0.752605219
0.252638714,0.256403079,0.29742425,0.677651968,0.681504636,0.733000845,0.711701659,0.719620212,0.771747428
0.260428103,0.262381746,0.317369731,0.685623905,0.708028045,0.757165005,0.732980203,0.729069361,0.997061596
0.266186582,0.280977722,0.323565754,0.709314192,0.714510215,0.769345669,0.880651709,0.936931336,1.003303257
0.277793146,0.287465129,0.338006078,0.725326762,0.720759437,0.961341336,0.924999435,0.961262248,1.012966258
0.286247828,0.313244902,0.34990979,0.729154843,0.941679431,0.965249807,0.960794273,0.961274008,1.02094244
0.310211139,0.317835408,0.356990295,0.881132651,0.953390747,0.993598551,0.961019214,0.985148177,1.052688901
0.344532839,0.329480318,0.418260696,0.937642827,0.961193672,0.99715444,0.984042744,0.98873912,1.056931771
0.354673417,0.365163599,0.419204209,0.947697255,0.977940909,1.013250002,0.993050689,1.001376024,1.060695448
0.415662625,0.418445163,0.437590597,0.961746175,0.981291987,1.013311961,1.013068488,1.004881447,1.075813773
0.418936449,0.420654468,0.486575164,0.985841675,0.992874684,1.021526399,1.017235642,1.024873963,1.103932164
0.422651065,0.462200248,0.523764022,0.993419483,1.001462194,1.05340324,1.029049264,1.052765396,1.128705793
0.457852292,0.485000096,0.52623807,1.00562856,1.005082511,1.073482063,1.061127916,1.057323697,1.188719058
0.483266349,0.514461853,0.531357813,1.017395037,1.032858546,1.089419837,1.065084962,1.092830295,1.194856703
0.512012683,0.517956357,0.56270925,1.021760683,1.040093104,1.145267278,1.081151779,1.105401846,1.208252071
0.518515821,0.521978486,0.711463896,1.048963953,1.077543522,1.18933101,1.277446061,1.32698018,1.373179566
0.518772378,0.52984209,0.742242926,1.049769065,1.100035388,1.225304255,1.356887724,1.345671301,1.446125757
0.526556563,0.537035974,0.817014006,1.089609866,1.32231224,1.369494905,1.359838779,1.360637039,1.449204224
0.539523328,0.537947964,0.989240839,1.264908322,1.341781334,1.445571689,1.364333474,1.366491475,1.569406039
0.600731873,0.702211089,1.083098183,1.357637617,1.349920272,1.449882836,1.368993019,1.500354343,1.676100514
0.605773565,0.798028293,1.09910722,1.366036054,1.354499009,1.583727323,1.373005497,1.724196309,1.789565257
0.645367397,0.962338831,1.102069076,1.369819952,1.507770578,1.677849606,1.50552778,1.749813617,1.797569919
0.66673435,1.039538868,1.107962463,1.36998019,1.729884922,1.805501402,1.551937195,1.801391064,1.821649762
0.786554811,1.046307573,1.110218621,1.373713427,1.753734085,1.809734161,1.717917316,1.888324666,1.905778384
0.794289308,1.063158296,1.413529397,1.492226881,1.809782965,1.814037745,1.745605043,1.925654553,2.009719525
0.799868599,1.238865246,1.458385921,1.55424208,1.877890269,1.943023601,1.793060266,2.161752814,2.319586699
0.958421466,1.358704039,1.729339928,1.710283167,1.922461834,2.017962504,2.162166461,2.286230402,2.380886741
1.046683174,1.405528188,1.792323531,1.746412684,2.076704089,2.087736939,2.317980566,2.372720087,2.414199163
1.050810635,1.910936107,1.963054212,1.782602519,2.162062076,2.322342135,2.382312288,2.458534231,2.50612482
1.39494743,2.699386778,2.851193152,2.062888949,2.326317514,2.382021367,2.469983481,2.498259331,2.562363374
2.71609335,2.751939817,2.871805547,2.154933382,2.394275951,2.466410649,2.690196787,2.686602994,2.762404946
2.732120066,3.408083495,3.508579404,2.290768148,2.442702316,2.519577955,3.061053503,3.054607191,3.042437538
5.04145472,5.081400173,4.148121293,2.375014194,2.478747815,2.610646752,3.690103168,3.669892193,3.755359554
5.9901508,5.255311286,5.16842542,2.450860518,2.698478734,2.778692614,3.841311687,3.867252447,4.158074897
7.203800153,5.845736226,6.068496944,2.675458675,3.046430059,3.06690539,4.231892279,4.238150407,4.387560547
8.15581183,7.167078237,7.862797849,3.031457762,3.662654361,3.774542226,5.072418039,5.168477092,6.181101794
10.03328775,8.039490256,8.451041906,3.636272526,3.870880918,4.15886255,6.529676294,6.629305111,7.05351749
10.42636539,10.10308134,12.31831188,3.847855373,4.275404084,4.435807982,6.664273622,6.712629219,7.365315696
15.94979384,15.3737162,16.5018357,4.232339659,5.149991986,5.108710708,7.734214145,7.736658345,8.430136572
17.52702819,18.59936104,18.55953456,5.149390443,6.632733094,6.301098483,8.191165189,8.268683338,8.442205698
18.55696055,18.75165538,18.61231798,6.609901079,6.668702827,7.237900889,8.346567112,8.406574075,8.913683571
18.63535408,19.49182048,21.87320993,6.688086782,7.398639538,7.374004333,9.199102646,9.174988098,10.07883868
20.2604736,20.1044671,22.32956066,7.802835603,7.749215094,8.410894807,9.787514305,9.813986015,10.82444338
20.41290958,20.43235824,22.99783331,8.302879428,8.374656092,8.879128978,10.17867874,10.31606603,11.35236479
20.93266064,21.94963078,24.93719655,8.42298964,8.510776727,10.05612059,10.71937891,10.72602837,12.31702988
21.241173,28.45965366,28.45419931,9.203460795,9.231328492,10.99655595,11.44860664,11.27268171,12.56425626
28.50283409,28.47559755,28.46317346,9.808339771,9.842553956,11.53869691,11.66734555,11.65491012,12.70520362
28.59975159,28.55892021,28.56807592,10.2365223,10.21941855,12.2095564,11.79686474,11.78109443,13.00133368
28.62608558,29.57024035,29.35738067,10.96462748,11.32282523,12.55782649,12.44556855,12.43737374,14.02218493
29.93130144,48.91477724,36.20362748,11.23404291,11.66728652,12.61097723,12.64599829,12.84585218,14.15451537
48.7746913,61.63562344,36.50428523,11.66482436,11.77699279,13.1983281,12.79960237,12.93331707,15.03466558
61.65191431,64.59725159,48.80737708,11.68638125,12.37593368,14.0228674,13.42734722,13.40564355,16.21115931
80.79152228,70.234122,61.6020301,12.53150139,12.81033014,14.22511862,14.03890005,14.01062918,18.75464903
137.2985974,80.72108075,80.7592208,12.89858957,12.88472153,14.88502803,16.29630787,16.25637214,19.12061785
,,,12.90487307,13.35455852,16.10855359,19.11399417,19.26523067,19.34854749
,,,13.15515468,14.11450816,16.97470731,19.4551549,19.29021908,19.3662699
,,,14.01520302,16.3401834,19.06342673,19.47693843,19.29834765,19.59888622
,,,15.51417192,19.14500257,19.34818239,19.51445678,19.51052896,22.23183274
,,,16.30498007,19.15072837,19.35210685,19.56693449,19.71810543,25.32305601
,,,19.28750727,19.15883867,19.3867218,19.79470348,19.76948447,25.54702279
,,,19.29772238,19.24123453,19.69259005,21.00777683,20.92803836,25.97048936
,,,19.32046591,19.37509516,19.94001421,21.08373347,21.01959812,26.50724538
,,,19.36470545,19.44698207,19.9794698,21.23184255,21.24493773,27.57206214
,,,19.74131622,20.695939,21.13716174,23.31760026,23.5494227,27.60808985
,,,19.75431182,20.84748994,21.4415555,24.65682004,25.11499228,29.15762693
,,,21.0816591,21.49355097,22.1129285,24.99974781,25.39766937,29.29357282
