iDQ 1.0,iProver v3.1 (CASC-27),HQS 2,dCAQE 4.0.1,DQBDD 1.1
,,1.290867954,0.472228492,1.049769065
,,1.32705212,0.473602852,1.089609866
,,1.43624009,0.477771889,1.264908322
,,1.451177122,0.509460686,1.357637617
,,1.555405883,0.536506769,1.366036054
,,1.599331985,0.545157989,1.369819952
,,1.651173148,0.549479347,1.36998019
,,1.759351817,0.576560133,1.373713427
,,1.879565892,0.577704312,1.492226881
,,1.880006538,0.596275961,1.55424208
,,1.967655712,0.661303634,1.710283167
,,1.971095402,0.737308411,1.746412684
,,2.011438713,0.784753261,1.782602519
,,2.359828261,0.80469934,2.062888949
,,2.535947729,0.805911206,2.154933382
,,2.740115257,0.981300967,2.290768148
,,2.84021397,1.016994916,2.375014194
,,3.468498619,1.203722371,2.450860518
,,3.648516086,1.322080411,2.675458675
,,3.888572665,1.333657354,3.031457762
,,4.001001345,1.54653658,3.636272526
,,4.693484892,1.550814015,3.847855373
,,4.769550489,1.553937243,4.232339659
,,4.785731491,1.649442181,5.149390443
,,4.805607143,3.449834483,6.609901079
,,5.513620651,3.699578053,6.688086782
,,5.546218598,3.715575211,7.802835603
,,5.645639237,4.564921597,8.302879428
,,6.162846242,5.358692556,8.42298964
,,6.526368651,8.697633124,9.203460795
,,6.614900942,9.19554856,9.808339771
,,7.10720158,10.72757732,10.2365223
,,7.135277922,12.73059324,10.96462748
,,7.291669655,20.8003657,11.23404291
,,7.34345769,20.82405085,11.66482436
,,7.375705023,34.40176994,11.68638125
,,7.415711162,35.22564675,12.53150139
,,8.07214614,42.55474637,12.89858957
,,8.228200682,45.87747229,12.90487307
,,8.380460607,84.49686618,13.15515468
,,8.460411343,100.9314613,14.01520302
,,13.37998565,137.8180264,15.51417192
,,14.7250936,145.5645246,16.30498007
,,16.68242672,147.8013434,19.28750727
,,18.57164106,155.4192922,19.29772238
,,18.65662466,170.0530509,19.32046591
,,18.67602037,183.1332707,19.36470545
,,19.09997663,195.3493203,19.74131622
,,19.44453032,237.4059652,19.75431182
,,24.74045287,238.8915815,21.0816591
,,28.12420366,251.7413577,21.15789769
,,28.45836936,277.8327605,21.30096181
,,28.66742905,416.6165696,23.53816656
,,32.18996051,418.2524655,24.73525666
,,39.61525469,880.6473823,25.3398901
,,41.46483532,,25.79997406
,,47.63761609,,26.29251506
,,48.95338337,,26.82902167
,,50.56585888,,28.99048525
,,51.57618588,,29.23071032
,,54.09401398,,29.2944598
,,59.77875733,,29.33875437
,,72.56366249,,29.73880514
,,74.17325698,,31.41227908
,,78.3808928,,32.16479735
,,83.74836134,,34.01001968
,,84.11190951,,41.00261076
,,88.478124,,44.43393568
,,97.91542424,,45.34944654
,,98.20215812,,46.89256768
,,109.7544837,,50.17816098
