HQS 2,DQBDD 1.1
0.425860291,0.441586098
0.381807062,0.386899406
12.27539157,1.040306204
43.73164114,1.484970041
9.128026147,2.092375981
0.357833273,0.374432659
58.67003993,4.552657514
29.05894118,1.887650401
10.17316737,0.8988117
6.233342989,2.280046679
21.40221069,14.96165272
6.030095037,2.347864431
6.893594932,2.832062757
1.091391305,1.206779201
1.322251987,1.795423467
209.8573924,2.539851746
11.42437927,1.607667071
11.70325405,5.801586937
6.309357336,2.308012674
0.986118076,1.397097877
3.408131385,1.135162851
1.191409057,0.955492076
1.959066927,2.345037219
0.754230775,1.035382865
5.62554863,3.905084096
1.13480694,0.742942242
13.06870238,2.710640412
5.737839026,4.144691095
19.41202234,2.646246631
10.72166898,3.096538596
1.246119013,19.21251065
4.080631386,1.211197372
17.51803103,3.292754431
12.98744358,2.352025585
28.85817025,1.943754628
1.202439088,2.179810714
1.070390301,0.814883023
7.419040409,3.485920751
7.695007529,1.779714147
14.15600221,3.364931793
6.562314887,4.622008885
15.77372051,2.516135647
49.06237238,2.345901618
15.56196088,1.059065279
7.802585221,1.147274108
5.237541288,2.880788516
5.184087035,1.427698141
4.725528579,5.974157115
5.85348251,6.667644486
1.254637093,2.47246352
900,2.712674597
10.15951986,1.739770073
21.74184674,12.61265011
0.926291539,1.155068274
11.53631754,1.912096469
42.49260659,394.175454
156.6149685,1.739593139
38.84122652,5.606593373
900,1.471802472
0.826388079,9.486176146
7.899639097,2.648598605
527.1591942,3.601261812
5.553975618,1.440361394
18.22725117,1.739886503
11.57822063,1.224361438
5.309674866,4.278878568
900,4.42032989
6.102478081,1.191653752
7.234889872,2.415500373
11.60267911,3.521573961
16.22614834,9.181781797
18.13135074,3.961452603
17.6986615,1.007478345
0.794408333,0.666855562
6.310555441,1.452519013
1.498820279,1.032004522
1.652184821,1.25079099
67.24423296,2.500695152
10.57448017,2.116171853
56.84480936,2.267361034
1.030530069,0.647605324
6.991028585,1.843975273
1.595106124,1.230964424
22.70677788,4.589719974
37.44989225,234.3014142
21.1779501,775.5729257
116.0095311,2.248285385
0.454117683,0.467574674
900,8.141025645
15.71843298,2.077750651
65.90228282,2.563965546
34.02964432,1.5685529
900,4.361153699
1.198224873,0.679192229
27.88605575,4.162132415
21.53750373,1.908342411
1.270074981,0.794538881
30.94043139,2.512455482
96.9616646,1.885204326
900,5.995341094
7.466790977,4.57282139
57.13368853,1.668353403
5.129104163,3.721826234
27.40952614,2.917152217
5.989818876,2.528901801
1.078313461,0.708141669
34.2664614,1.48995533
131.9947995,1.604430248
4.592851222,2.308400075
1.322394813,2.64100117
183.5872443,3.605884456
8.992002336,2.521187796
42.07243679,2.291664992
7.983177917,2.055447009
14.88276734,4.333949208
11.30223946,1.508226867
900,1.047547182
5.577895143,1.147841732
900,3.809881699
133.1222933,4.606147056
37.83434754,7.023523841
14.69267865,2.829090113
